Trade 1 ID,Trade 2 ID,Symbol,Category
44391017,47133490,EURUSD,Partial Copy
44391017,47269018,EURUSD,Partial Copy
44391017,47577213,EURUSD,Partial Copy
1742642088729063083,1743933942411526880,EURUSD,Reverse Trade
1742642088729063083,46425495,EURUSD,Partial Copy
1742642088729063083,46901017,EURUSD,Partial Copy
44454238,44400945,EURUSD,Partial Copy
44454238,44551707,EURUSD,Partial Copy
44454238,1743933942368448941,EURUSD,Partial Copy
44454238,44797294,EURUSD,Partial Copy
44454238,38188624,EURUSD,Partial Copy
44454238,45479996,EURUSD,Partial Copy
44454238,45697869,EURUSD,Partial Copy
44454238,1743933942402159302,EURUSD,Partial Copy
44454238,45823705,EURUSD,Partial Copy
44454238,1743933942406247509,EURUSD,Partial Copy
44454238,46169867,EURUSD,Partial Copy
44454238,46465026,EURUSD,Partial Copy
44454238,46627259,EURUSD,Partial Copy
44454238,46898488,EURUSD,Partial Copy
44454238,47116736,EURUSD,Reverse Trade
44454238,47179220,EURUSD,Partial Copy
44454238,1743933942460591351,EURUSD,Partial Copy
44400945,44797294,EURUSD,Partial Copy
44400945,38185951,EURUSD,Partial Copy
44400945,38188624,EURUSD,Partial Copy
44400945,38188725,EURUSD,Partial Copy
44400945,45479996,EURUSD,Partial Copy
44400945,45697869,EURUSD,Partial Copy
44400945,45823705,EURUSD,Partial Copy
44400945,45908669,EURUSD,Partial Copy
44400945,46465026,EURUSD,Partial Copy
44400945,46627259,EURUSD,Partial Copy
44400945,46628732,EURUSD,Partial Copy
44400945,46764834,EURUSD,Partial Copy
44400945,46898488,EURUSD,Partial Copy
44400945,47116736,EURUSD,Partial Copy
44400945,47322542,EURUSD,Partial Copy
44400945,47412555,EURUSD,Partial Copy
44498525,44860721,EURUSD,Copy Trade
44498525,45060402,EURUSD,Reverse Trade
44498525,45104490,EURUSD,Reverse Trade
44498525,45651744,EURUSD,Partial Copy
44498525,45755299,EURUSD,Reverse Trade
44498525,45741758,EURUSD,Partial Copy
44498525,45794395,EURUSD,Copy Trade
44498525,46114796,EURUSD,Copy Trade
44498525,47174606,EURUSD,Partial Copy
44498525,47315997,EURUSD,Copy Trade
44498525,47412555,EURUSD,Partial Copy
44498525,47425438,EURUSD,Reverse Trade
38182136,1743933942448903129,EURUSD,Partial Copy
38182136,46290186,EURUSD,Copy Trade
44546230,44660724,EURUSD,Copy Trade
